순위,키워드,분류,기회점수,수요점수,경쟁낮음점수,AI점수,경쟁난이도%,상태,관심도,상승률%,최고대비%,빈구간비율,계절성%,뜨는달,최근30일%,장악%,전체문서수,AI인용적합,처방
11,노이즈캔슬링 부작용,AI인용,51.8,0.2,21.7,30.0,27.7,급상승,0.003,999.0,31.8,0.343,74.3,1월·3월,2.5,45.0,1764,높음,올랐지만 원래 검색량이 아주 작아 흔들린 것일 수 있습니다. 몇 주 더 보세요.
12,헤드폰 귀 아픈 이유,AI인용,51.8,0.4,21.4,30.0,28.7,식는 중,0.021,-26.2,49.7,0.0,38.8,1월·3월,15.0,15.0,15264,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
13,AAC 코덱,코덱,51.7,0.0,21.7,30.0,27.6,하락,0.0,-100.0,0.0,0.371,126.3,1월·6월,14.3,9.5,25698,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
14,스마트폰 발열 원인,AI인용,51.4,3.0,18.4,30.0,38.6,하락,0.434,-41.9,56.1,0.0,55.9,6월·7월,25.0,25.0,45022,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
15,이어폰 한쪽만 안 나올 때,AI인용,51.2,0.0,21.2,30.0,29.3,하락,0.0,-100.0,0.0,0.371,136.2,1월·4월,20.5,0.0,57349,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
16,ISO 뜻,카메라,50.9,1.1,19.8,30.0,34.1,유지,0.058,-13.4,46.1,0.0,27.9,3월·4월,25.9,7.4,53752,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
17,무손실 음원이란,AI인용,50.3,0.6,19.7,30.0,34.2,유지,0.048,-9.4,49.9,0.0,42.9,1월·3월,17.5,27.5,20038,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
18,이어폰 끊김 원인,AI인용,50.1,0.3,19.8,30.0,34.1,상승,0.012,33.3,41.4,0.143,63.9,3월·4월,10.0,45.0,8120,높음,올라오는 중입니다. 지금 써두면 정점에 맞춰집니다.
19,골전도 이어폰 원리,AI인용,49.9,0.4,19.5,30.0,34.9,식는 중,0.017,-25.5,69.9,0.029,17.8,5월·6월,20.0,37.5,2579,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
20,와이파이 느린 이유,AI인용,49.6,0.5,19.1,30.0,36.3,유지,0.028,9.9,60.0,0.0,53.3,1월·3월,2.5,52.5,65292,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
21,아이폰 저장공간 부족,저장공간,49.0,1.4,17.6,30.0,41.2,식는 중,0.1,-28.4,59.7,0.0,10.8,3월·7월,32.5,20.0,56079,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
22,이어폰 오래 끼면,AI인용,48.9,0.0,18.9,30.0,37.0,하락,0.0,-100.0,0.0,0.314,83.7,1월·3월,17.5,27.5,114250,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
23,스마트폰 느려지는 이유,AI인용,48.2,1.5,16.7,30.0,44.3,유지,0.112,0.9,34.1,0.0,97.6,1월·2월,2.5,77.5,88877,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
24,커널형 오픈형 차이,AI인용,48.0,0.6,17.4,30.0,41.9,상승,0.035,24.9,45.2,0.029,81.9,2월·3월,5.0,75.0,16714,높음,올라오는 중입니다. 지금 써두면 정점에 맞춰집니다.
25,미러리스 DSLR 차이,카메라,47.1,0.0,17.1,30.0,43.0,하락,0.0,-100.0,0.0,0.314,121.1,3월·4월,16.7,55.6,31485,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
26,캐시 삭제 방법,저장공간,46.9,0.4,16.5,30.0,44.8,급상승,0.015,93.1,24.7,0.057,151.3,1월·3월,41.4,13.8,110703,높음,올랐지만 원래 검색량이 아주 작아 흔들린 것일 수 있습니다. 몇 주 더 보세요.
27,무선 충전 원리,원리,46.8,0.4,16.4,30.0,45.4,급상승,0.016,262.5,37.5,0.0,87.4,5월·6월,25.0,47.5,45190,높음,올랐지만 원래 검색량이 아주 작아 흔들린 것일 수 있습니다. 몇 주 더 보세요.
28,저장공간 부족할 때,AI인용,46.3,1.4,14.8,30.0,50.5,식는 중,0.1,-28.9,59.7,0.0,10.7,3월·7월,17.5,72.5,468726,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
29,이어폰 임피던스 뜻,AI인용,44.3,2.1,12.2,30.0,59.4,유지,0.227,-0.5,71.9,0.0,24.8,1월·3월,55.0,65.0,1258,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
30,공장초기화 방법,AI인용,41.8,1.6,10.2,30.0,66.0,유지,0.132,8.5,28.1,0.0,112.0,1월·3월,56.0,60.0,293193,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
31,아이폰 18 출시일,루머,41.4,22.3,19.2,0.0,36.1,유지,24.581,2.6,108.0,0.0,50.3,6월·7월,10.0,37.5,90614,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
32,아이폰 폴더블,루머,36.4,19.6,16.8,0.0,44.0,급상승,14.38,86.7,157.6,0.0,32.6,4월·7월,15.0,55.0,112391,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
33,갤럭시 저장공간 정리,저장공간,35.5,0.0,5.5,30.0,81.7,하락,0.0,-100.0,0.0,0.4,253.4,4월·7월,65.0,97.5,111844,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
34,갤럭시 S27,루머,34.8,16.1,18.7,0.0,37.6,유지,12.812,-1.2,103.0,0.0,166.3,6월·7월,15.0,50.0,6123,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
35,포노앰프,음악,34.1,1.1,18.0,15.0,40.0,유지,0.056,-3.5,51.6,0.0,29.5,1월·3월,20.0,42.5,19980,중간,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
36,블루투스 스피커,구매검토,30.4,13.6,16.8,0.0,44.0,유지,9.131,15.7,55.3,0.0,64.7,1월·2월,0.0,80.0,1112155,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
37,게이밍 헤드셋,구매검토,28.8,8.4,20.4,0.0,32.0,유지,3.475,-0.1,97.7,0.0,16.6,1월·2월,7.5,27.5,133027,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
38,OLED LCD 차이,AI인용,27.3,0.0,24.6,30.0,18.0,관심 미미,0.0,0.0,0.0,0.8,458.8,1월·2월,0.0,0.0,30755,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
39,LP 휘었을 때,문제해결,27.0,0.0,24.0,30.0,20.1,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,7.5,10.0,2146,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
40,LP 지지직 소리,문제해결,26.9,0.0,23.8,30.0,20.8,관심 미미,0.0,0.0,0.0,0.829,273.6,1월·3월,15.0,0.0,2071,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
41,FLAC 차이,음질,26.5,0.0,23.1,30.0,23.0,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,14.3,0.0,9223,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
42,에어팟 배터리 빨리 닳음,AI인용,26.4,0.0,22.8,30.0,24.0,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,15.0,5.0,5721,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
43,턴테이블 원리,AI인용,26.4,0.0,22.8,30.0,24.0,관심 미미,0.0,0.0,0.0,0.943,600.0,1월·2월,12.5,10.0,4985,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
44,LP 튀는 이유,LP문제해결,26.4,0.0,22.7,30.0,24.3,관심 미미,0.0,0.0,0.0,0.886,266.9,1월·3월,17.5,0.0,7523,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
45,이어폰 볼륨 작을 때,문제해결,26.3,0.0,22.6,30.0,24.7,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,10.0,0.0,85002,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
46,LP 바늘 교체 시기,LP관리,26.2,0.0,22.5,30.0,25.0,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,2.5,45.0,369,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
47,LDAC 이란,코덱,26.1,0.0,22.3,30.0,25.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,25.0,16.7,115,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
48,이어폰 수명,문제해결,25.9,0.0,21.9,30.0,27.0,관심 미미,0.0,0.0,0.0,0.943,281.8,1월·5월,10.0,6.7,109170,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
49,블루투스 코덱 설정,코덱,25.9,0.0,21.9,30.0,27.1,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,7.5,20.0,21556,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
50,밸런스드 아마추어란,음질,25.9,0.0,21.7,30.0,27.6,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,12.5,22.5,4467,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
51,이퀄라이저 설정 방법,음질,25.9,0.0,21.8,30.0,27.4,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,21.1,0.0,16173,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
52,포노앰프 필요한 이유,AI인용,25.8,0.0,21.6,30.0,27.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,10.0,32.5,1879,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
53,블루투스 코덱 종류,코덱,25.8,0.0,21.5,30.0,28.3,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,17.5,15.0,5782,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
54,LP 카트리지 종류,바이닐,25.7,0.0,21.3,30.0,28.9,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,17.5,25.0,1488,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
55,LC3 코덱,코덱,25.6,0.0,21.2,30.0,29.5,관심 미미,0.0,0.0,0.0,0.686,70.0,2월·5월,5.0,45.0,2324,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
56,크롭바디 풀프레임 차이,기초,25.5,0.0,21.0,30.0,30.1,관심 미미,0.0,0.0,0.0,0.971,600.0,1월·2월,8.8,32.4,10133,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
57,핫스팟 사용법,연결,25.5,0.0,21.1,30.0,29.7,관심 미미,0.0,-100.0,0.0,0.571,140.5,2월·4월,0.0,34.6,68055,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
58,이어폰 번인이란,AI인용,25.4,0.0,20.7,30.0,31.0,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,17.5,27.5,3085,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
59,이어팁 사이즈 고르는 법,문제해결,25.4,0.0,20.9,30.0,30.4,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,20.0,15.0,9629,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
60,로그 촬영이란,설정,25.4,0.0,20.9,30.0,30.3,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,20.7,0.0,690739,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
61,이어폰 적정 볼륨,건강,25.4,0.0,20.8,30.0,30.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,20.0,20.0,4940,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
62,LP 잡음 원인,AI인용,25.3,0.0,20.6,30.0,31.2,관심 미미,0.0,0.0,0.0,0.886,200.1,1월·3월,17.5,35.0,990,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
63,블루투스 연결 안될 때,문제해결,25.3,0.0,20.5,30.0,31.6,관심 미미,0.0,-100.0,0.0,0.714,144.5,1월·5월,10.5,21.1,148899,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
64,SBC 코덱,코덱,25.3,0.0,20.7,30.0,31.2,관심 미미,0.0,-100.0,0.0,0.514,157.2,2월·3월,12.1,27.3,17031,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
65,aptX 어댑티브,코덱,25.3,0.0,20.6,30.0,31.2,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,12.5,42.5,1107,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
66,하이레스 오디오란,음질,25.3,0.0,20.6,30.0,31.3,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,27.5,20.0,781,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
67,데이터 무제한 속도 제한,연결,25.3,0.0,20.7,30.0,31.1,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,22.2,0.0,374628,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
68,멀티포인트 뜻,AI인용,25.2,0.0,20.3,30.0,32.2,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,15.0,20.0,48047,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
69,주파수 응답 그래프 보는 법,음질,25.2,0.0,20.5,30.0,31.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,17.5,32.5,2064,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
70,램 용량 차이,성능,25.2,0.0,20.5,30.0,31.8,관심 미미,0.0,-100.0,0.0,0.857,316.2,1월·2월,20.0,6.7,86663,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
71,RAW JPEG 차이,카메라,25.2,0.0,20.5,30.0,31.7,관심 미미,0.0,-100.0,0.0,0.829,169.5,4월·6월,17.5,27.5,4651,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
72,아이폰 안드로이드 차이,성능,25.1,0.0,20.2,30.0,32.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,21.4,7.1,123996,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
73,바이닐 무게 차이,바이닐,25.1,0.0,20.2,30.0,32.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,20.0,37.5,781,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
74,바이닐 음질 좋은 이유,AI인용,25.0,0.0,19.9,30.0,33.7,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,7.5,57.5,1462,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
75,블루투스 이어폰 끊김 원인,문제해결,25.0,0.0,20.1,30.0,33.0,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,10.0,45.0,4274,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
76,블루투스 페어링 방법,연결,25.0,0.0,19.9,30.0,33.7,관심 미미,0.0,-100.0,0.0,0.829,373.4,2월·3월,27.3,0.0,115446,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
77,LP 33 45 차이,바이닐,25.0,0.0,20.0,30.0,33.5,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,2.5,62.5,2357,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
78,LP 보관 방법,LP관리,25.0,0.0,20.0,30.0,33.2,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,5.0,40.0,48366,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
79,이어폰 소독 방법,문제해결,24.9,0.0,19.7,30.0,34.2,관심 미미,0.0,0.0,0.0,0.971,600.0,1월·4월,17.5,30.0,12826,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
80,이어폰 습기 제거,문제해결,24.9,0.0,19.8,30.0,34.0,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,17.5,30.0,11859,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
81,턴테이블 소리 작을 때,문제해결,24.9,0.0,19.8,30.0,34.1,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,22.5,17.5,25710,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
82,노출 보정 방법,설정,24.9,0.0,19.9,30.0,33.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,12.5,25.0,126438,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
83,aptX 차이,코덱,24.8,0.0,19.7,30.0,34.4,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,27.5,17.5,6941,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
84,드라이버 유닛 종류,음질,24.8,0.0,19.7,30.0,34.5,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,10.0,45.0,9758,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
85,단렌즈 줌렌즈 차이,렌즈,24.8,0.0,19.7,30.0,34.4,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,15.0,35.0,12666,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
86,턴테이블 바늘 청소,관리,24.7,0.0,19.5,30.0,35.0,관심 미미,0.0,0.0,0.0,0.971,600.0,1월·7월,17.5,45.0,1557,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
87,LP 리마스터란,바이닐,24.7,0.0,19.3,30.0,35.6,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,22.5,35.0,2945,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
88,LP 세척 방법,LP관리,24.7,0.0,19.4,30.0,35.2,관심 미미,0.0,0.0,0.0,0.857,169.5,1월·3월,12.5,50.0,3121,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
89,턴테이블 수평 맞추기,LP관리,24.7,0.0,19.5,30.0,35.0,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,7.5,57.5,3230,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
90,갤럭시 폴드,루머,24.7,10.4,14.4,0.0,52.1,하락,5.32,-45.2,46.3,0.0,113.0,1월·7월,32.4,52.9,403546,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
91,DAC 필요한 이유,AI인용,24.6,0.0,19.3,30.0,35.7,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,5.0,55.0,14835,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
92,프레임레이트 차이,설정,24.6,0.0,19.2,30.0,35.9,관심 미미,0.0,0.0,0.0,0.743,293.3,3월·5월,5.7,54.3,15246,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
93,침압 조절 방법,관리,24.6,0.0,19.3,30.0,35.7,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,22.5,47.5,349,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
94,아이폰 배터리 성능 저하,배터리,24.6,0.0,19.3,30.0,35.8,관심 미미,0.0,0.0,0.0,0.686,96.6,1월·2월,15.0,32.5,44000,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
95,이어폰 한쪽만 소리 안날 때,문제해결,24.5,0.0,19.0,30.0,36.6,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,31.6,7.9,39468,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
96,음질 좋은 음원,음질,24.3,0.0,18.6,30.0,37.9,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,26.3,15.8,108240,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
97,이어폰 지연 줄이기,AI인용,24.2,0.0,18.4,30.0,38.5,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,0.0,72.5,15818,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
98,배터리 교체 시기,배터리,24.1,0.0,18.3,30.0,39.0,관심 미미,0.0,-100.0,0.0,0.571,435.3,1월·2월,27.5,17.5,307932,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
99,하울링 원인,문제해결,24.0,0.0,18.1,30.0,39.7,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,22.5,42.5,8369,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
100,블루투스 버전 차이,원리,24.0,0.0,18.0,30.0,39.9,관심 미미,0.0,0.0,0.0,0.8,174.7,4월·6월,10.0,52.5,60743,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
101,비트레이트 차이,음질,24.0,0.0,18.0,30.0,40.1,관심 미미,0.0,0.0,0.0,0.971,600.0,1월·3월,35.0,20.0,13987,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
102,카메라 센서 청소,관리,24.0,0.0,18.0,30.0,40.1,관심 미미,0.003,300.0,30.6,0.657,161.3,2월·6월,12.5,47.5,80165,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
103,화이트밸런스 설정,카메라,23.9,0.0,17.7,30.0,40.8,관심 미미,0.0,-100.0,0.0,0.857,196.4,3월·7월,33.3,16.7,62202,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
