순위,키워드,분류,기회점수,수요점수,경쟁낮음점수,AI점수,경쟁난이도%,상태,관심도,상승률%,최고대비%,빈구간비율,계절성%,뜨는달,최근30일%,장악%,전체문서수,AI인용적합,처방
36,블루투스 스피커,구매검토,31.9,13.2,18.7,0.0,37.8,유지,8.832,-3.7,46.3,0.0,64.7,1월·2월,32.5,5.0,1107544,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
37,운동용 이어폰,구매검토,28.9,6.7,22.1,0.0,26.2,유지,2.289,-6.9,81.1,0.0,18.9,1월·3월,12.5,0.0,159543,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
38,게이밍 헤드셋,구매검토,28.8,9.2,19.6,0.0,34.8,유지,4.295,8.8,104.5,0.0,16.6,1월·2월,10.0,32.5,132238,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
39,바이닐 음질 좋은 이유,AI인용,26.5,0.0,22.9,30.0,23.7,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,17.5,7.5,1458,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
40,침압 조절 방법,관리,26.5,0.0,23.0,30.0,23.4,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,17.5,15.0,349,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
41,브이로그 카메라,추천,26.4,4.5,21.8,0.0,27.3,유지,1.04,10.6,51.7,0.0,38.1,1월·2월,10.0,7.5,173763,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
42,LP 리마스터란,바이닐,26.3,0.0,22.7,30.0,24.4,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,15.0,10.0,2930,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
43,LDAC 이란,코덱,26.1,0.0,22.3,30.0,25.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,25.0,16.7,115,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
44,애플 가격 인상,공식뉴스,25.9,4.3,21.6,0.0,28.0,식는 중,0.949,-34.7,6.6,0.0,246.0,6월·7월,10.0,10.0,342076,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
45,LP 휘었을 때,문제해결,25.7,0.0,21.4,30.0,28.6,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,20.0,17.5,2143,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
46,이퀄라이저 설정 방법,음질,25.7,0.0,21.4,30.0,28.6,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,17.5,10.0,16132,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
47,하이레스 오디오란,음질,25.7,0.0,21.4,30.0,28.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,30.0,7.5,775,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
48,블루라이트 눈 피로,건강,25.7,0.0,21.4,30.0,28.7,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,17.5,0.0,317092,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
49,드라이버 유닛 종류,음질,25.6,0.0,21.2,30.0,29.5,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,15.0,20.0,9744,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
50,바이닐 무게 차이,바이닐,25.6,0.0,21.3,30.0,29.1,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,35.0,0.0,777,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
51,턴테이블 수평 맞추기,LP관리,25.6,0.0,21.2,30.0,29.3,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,20.0,17.5,3229,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
52,와이파이 6 차이,연결,25.5,0.0,21.1,30.0,29.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,7.5,20.0,156762,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
53,비트레이트 차이,음질,25.4,0.0,20.8,30.0,30.6,관심 미미,0.0,0.0,0.0,0.971,600.0,1월·3월,25.0,5.0,13892,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
54,이어폰 수명,문제해결,25.3,0.0,20.6,30.0,31.5,관심 미미,0.0,0.0,0.0,0.941,281.8,1월·5월,20.0,5.0,108595,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
55,밸런스드 아마추어란,음질,25.3,0.0,20.7,30.0,31.1,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,22.5,17.5,4460,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
56,턴테이블 원리,AI인용,25.2,0.0,20.4,30.0,32.0,관심 미미,0.0,0.0,0.0,0.941,600.0,1월·2월,22.5,20.0,4971,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
57,LP 지지직 소리,문제해결,25.2,0.0,20.4,30.0,32.0,관심 미미,0.0,0.0,0.0,0.824,273.6,1월·3월,37.5,0.0,2059,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
58,이어폰 소독 방법,문제해결,25.2,0.0,20.4,30.0,31.9,관심 미미,0.0,0.0,0.0,0.971,600.0,1월·4월,25.0,10.0,12765,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
59,aptX 어댑티브,코덱,25.2,0.0,20.3,30.0,32.2,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,25.0,25.0,1101,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
60,이어폰 번인이란,AI인용,25.1,0.0,20.2,30.0,32.7,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,22.5,25.0,3080,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
61,LC3 코덱,코덱,25.1,0.0,20.2,30.0,32.7,관심 미미,0.0,0.0,0.0,0.676,70.0,2월·5월,17.5,35.0,2305,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
62,aptX 차이,코덱,25.1,0.0,20.1,30.0,32.9,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,20.0,25.0,6905,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
63,FLAC 차이,음질,25.1,0.0,20.1,30.0,32.9,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,25.0,15.0,9200,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
64,공간음향 설정,음질,25.0,0.0,20.0,30.0,33.5,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,15.0,20.0,137735,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
65,에어팟 배터리 빨리 닳음,AI인용,24.9,0.0,19.7,30.0,34.3,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,32.5,10.0,5705,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
66,SBC 코덱,코덱,24.9,0.0,19.8,30.0,33.9,관심 미미,0.0,-100.0,0.0,0.5,157.2,2월·3월,10.0,40.0,16947,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
67,음질 좋은 음원,음질,24.9,0.0,19.9,30.0,33.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,27.5,0.0,107798,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
68,블루투스 페어링 방법,연결,24.9,0.0,19.7,30.0,34.2,관심 미미,0.0,-100.0,0.0,0.824,373.4,2월·3월,15.0,22.5,115108,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
69,이어폰 적정 볼륨,건강,24.9,0.0,19.7,30.0,34.3,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,30.0,15.0,4896,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
70,LP 바늘 교체 시기,LP관리,24.9,0.0,19.8,30.0,34.0,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,17.5,50.0,368,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
71,이어폰 지연 줄이기,AI인용,24.8,0.0,19.6,30.0,34.5,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,32.5,5.0,15683,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
72,블루투스 코덱 종류,코덱,24.8,0.0,19.6,30.0,34.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,20.0,32.5,5780,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
73,주파수 응답 그래프 보는 법,음질,24.8,0.0,19.6,30.0,34.5,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,27.5,25.0,2061,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
74,무선충전 단점,배터리,24.8,0.0,19.5,30.0,35.0,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,30.0,0.0,361310,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
75,RAW JPEG 차이,카메라,24.8,0.0,19.5,30.0,34.9,관심 미미,0.0,-100.0,0.0,0.824,169.5,4월·6월,30.0,17.5,4641,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
76,LP 튀는 이유,LP문제해결,24.8,0.0,19.5,30.0,35.0,관심 미미,0.0,-100.0,0.0,0.882,266.9,1월·3월,22.5,27.5,7495,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
77,블루투스 버전 차이,원리,24.7,0.0,19.3,30.0,35.6,관심 미미,0.0,0.0,0.0,0.794,174.7,4월·6월,22.5,17.5,60408,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
78,블루투스 코덱 설정,코덱,24.7,0.0,19.5,30.0,35.1,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,25.0,17.5,21467,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
79,돌비 애트모스란,음질,24.6,0.0,19.3,30.0,35.7,관심 미미,0.0,-100.0,0.0,0.853,100.0,1월·6월,32.5,0.0,72455,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
80,크롭바디 풀프레임 차이,기초,24.6,0.0,19.1,30.0,36.3,관심 미미,0.0,0.0,0.0,0.971,600.0,1월·2월,37.5,5.0,10091,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
81,LP 잡음 원인,AI인용,24.5,0.0,19.1,30.0,36.5,관심 미미,0.0,-100.0,0.0,0.882,200.1,1월·3월,32.5,27.5,985,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
82,이어폰 지연 시간 줄이기,문제해결,24.5,0.0,19.1,30.0,36.4,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,35.0,7.5,14297,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
83,램 용량 차이,성능,24.4,0.0,18.8,30.0,37.5,관심 미미,0.0,-100.0,0.0,0.853,316.2,1월·2월,32.5,5.0,86153,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
84,포노앰프 필요한 이유,AI인용,24.3,0.0,18.6,30.0,37.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,22.5,45.0,1875,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
85,이어폰 습기 제거,문제해결,24.3,0.0,18.5,30.0,38.3,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,5.0,65.0,11805,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
86,이어폰 귀 건강,건강,24.3,0.0,18.7,30.0,37.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,32.5,5.0,133625,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
87,무선이어폰 추천,구매검토,24.3,5.3,19.1,0.0,36.5,유지,1.398,5.8,78.0,0.0,27.5,1월·3월,30.0,5.0,346005,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
88,블루투스 연결 안될 때,문제해결,24.2,0.0,18.4,30.0,38.8,관심 미미,0.0,-100.0,0.0,0.706,144.5,1월·5월,22.5,25.0,148824,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
89,프레임레이트 차이,설정,24.2,0.0,18.3,30.0,39.0,관심 미미,0.0,0.0,0.0,0.735,293.3,3월·5월,32.5,20.0,15187,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
90,셔터스피드 뜻,카메라,24.2,0.0,18.3,30.0,38.9,관심 미미,0.0,0.0,0.0,0.941,277.3,1월·3월,37.5,15.0,8152,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
91,LP 세척 방법,LP관리,24.2,0.0,18.3,30.0,39.0,관심 미미,0.0,0.0,0.0,0.853,169.5,1월·3월,5.0,75.0,3111,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
92,앰프 필요한 이유,원리,24.1,0.0,18.1,30.0,39.6,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,17.5,40.0,50676,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
93,로그 촬영이란,설정,24.1,0.0,18.1,30.0,39.5,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,30.0,15.0,686482,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
94,난청 예방,건강,24.1,0.0,18.3,30.0,39.0,관심 미미,0.0,-100.0,0.0,0.912,381.5,2월·7월,20.0,30.0,162141,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
95,DAC 필요한 이유,AI인용,24.0,0.0,18.1,30.0,39.7,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,17.5,47.5,14725,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
96,OLED LCD 차이,AI인용,24.0,0.0,18.1,30.0,39.7,관심 미미,0.0,0.0,0.0,0.794,458.8,1월·2월,37.5,10.0,30622,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
97,아이폰 배터리 성능 저하,배터리,24.0,0.0,17.9,30.0,40.3,관심 미미,0.0,0.0,0.0,0.676,96.6,1월·2월,30.0,22.5,43711,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
98,카메라 보관 방법,관리,23.8,0.0,17.5,30.0,41.5,관심 미미,0.0,0.0,0.0,0.912,366.9,3월·4월,40.0,5.0,308026,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
99,멀티포인트 뜻,AI인용,23.7,0.0,17.3,30.0,42.2,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,35.0,20.0,47673,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
100,이어팁 사이즈 고르는 법,문제해결,23.6,0.0,17.2,30.0,42.7,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,40.0,22.5,9573,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
101,화각 차이,기초,23.6,0.0,17.2,30.0,42.5,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,32.5,22.5,75130,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
102,고속충전 원리,배터리,23.6,0.0,17.3,30.0,42.3,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,40.0,15.0,28950,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
103,노이즈캔슬링 이어폰,구매검토,23.6,4.1,19.5,0.0,35.0,유지,0.852,7.1,88.2,0.0,20.4,1월·3월,22.5,12.5,255076,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
